Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,latitude,longtitude,altitude,utm_easting,utm_northing,zone,letter
1695934514.7120397,1,152902,0,GPS1_Frame,42.33713516666667,-71.08625566666666,95.9,328132.67749213136,4689316.919059236,19,T
1695934522.72158,2,152903,0,GPS1_Frame,42.33714516666667,-71.086258,94.0,328132.51250562636,4689318.0341990255,19,T
1695934530.731032,3,152904,0,GPS1_Frame,42.33715183333334,-71.08625966666666,92.9,328132.39336086495,4689318.777850135,19,T
1695934538.7410414,4,152905,0,GPS1_Frame,42.33715983333333,-71.086255,91.3,328132.7996149544,4689319.656756634,19,T
1695934546.7492588,5,152906,0,GPS1_Frame,42.337168000000005,-71.0862475,89.8,328133.4397447709,4689320.548443435,19,T
1695934554.757303,6,152907,0,GPS1_Frame,42.337176500000005,-71.08624,88.8,328134.0807825328,4689321.477144409,19,T
1695934562.7679007,7,152908,0,GPS1_Frame,42.33718466666666,-71.08623383333334,87.4,328134.61106652557,4689322.371526253,19,T
1695934570.780223,8,152909,0,GPS1_Frame,42.33719599999999,-71.08622816666666,86.0,328135.10878525337,4689323.618552876,19,T
1695934578.7909422,9,152910,0,GPS1_Frame,42.33720816666667,-71.08622033333333,84.8,328135.78727294627,4689324.953735587,19,T
1695934586.801849,10,152911,0,GPS1_Frame,42.337220333333335,-71.08621366666667,83.1,328136.3696456294,4689326.291276405,19,T
1695934594.8125043,11,152912,0,GPS1_Frame,42.33723283333334,-71.08620933333333,81.1,328136.76069670543,4689327.670547468,19,T
1695934602.8230531,12,152913,0,GPS1_Frame,42.33724533333334,-71.08620233333333,79.6,328137.37143845385,4689329.044428755,19,T
1695934610.832632,13,152914,0,GPS1_Frame,42.33725333333334,-71.08619366666667,79.0,328138.10722757794,4689329.915250856,19,T
1695934618.841996,14,152915,0,GPS1_Frame,42.337259833333334,-71.08618683333334,78.7,328138.687892771,4689330.623214943,19,T
1695934626.8518705,15,152916,0,GPS1_Frame,42.337269166666665,-71.086182,78.3,328139.11150847113,4689331.649841403,19,T
1695934634.8623981,16,152917,0,GPS1_Frame,42.337276833333334,-71.086176,78.1,328139.626698349,4689332.489039277,19,T
1695934642.8735096,17,152918,0,GPS1_Frame,42.33728516666667,-71.08616950000001,78.0,328140.1848962606,4689333.401254859,19,T
